Exercise Name,Google Image Link,YouTube Link
3/4 sit-up,https://www.google.com/search?tbm=isch&q=3/4%20sit-up,
45° side bend,https://www.google.com/search?tbm=isch&q=45%C2%B0%20side%20bend,
air bike,https://www.google.com/search?tbm=isch&q=air%20bike,
all fours squad stretch,https://www.google.com/search?tbm=isch&q=all%20fours%20squad%20stretch,
alternate heel touchers,https://www.google.com/search?tbm=isch&q=alternate%20heel%20touchers,
alternate lateral pulldown,https://www.google.com/search?tbm=isch&q=alternate%20lateral%20pulldown,
ankle circles,https://www.google.com/search?tbm=isch&q=ankle%20circles,
archer pull up,https://www.google.com/search?tbm=isch&q=archer%20pull%20up,
archer push up,https://www.google.com/search?tbm=isch&q=archer%20push%20up,
arm slingers hanging bent knee legs,https://www.google.com/search?tbm=isch&q=arm%20slingers%20hanging%20bent%20knee%20legs,
arm slingers hanging straight legs,https://www.google.com/search?tbm=isch&q=arm%20slingers%20hanging%20straight%20legs,
arms apart circular toe touch (male),https://www.google.com/search?tbm=isch&q=arms%20apart%20circular%20toe%20touch%20%28male%29,
arms overhead full sit-up (male),https://www.google.com/search?tbm=isch&q=arms%20overhead%20full%20sit-up%20%28male%29,
assisted chest dip (kneeling),https://www.google.com/search?tbm=isch&q=assisted%20chest%20dip%20%28kneeling%29,
assisted hanging knee raise,https://www.google.com/search?tbm=isch&q=assisted%20hanging%20knee%20raise,
assisted hanging knee raise with throw down,https://www.google.com/search?tbm=isch&q=assisted%20hanging%20knee%20raise%20with%20throw%20down,
assisted lying calves stretch,https://www.google.com/search?tbm=isch&q=assisted%20lying%20calves%20stretch,
assisted lying glutes stretch,https://www.google.com/search?tbm=isch&q=assisted%20lying%20glutes%20stretch,
assisted lying gluteus and piriformis stretch,https://www.google.com/search?tbm=isch&q=assisted%20lying%20gluteus%20and%20piriformis%20stretch,
assisted lying leg raise with lateral throw down,https://www.google.com/search?tbm=isch&q=assisted%20lying%20leg%20raise%20with%20lateral%20throw%20down,
assisted lying leg raise with throw down,https://www.google.com/search?tbm=isch&q=assisted%20lying%20leg%20raise%20with%20throw%20down,
assisted motion russian twist,https://www.google.com/search?tbm=isch&q=assisted%20motion%20russian%20twist,
assisted parallel close grip pull-up,https://www.google.com/search?tbm=isch&q=assisted%20parallel%20close%20grip%20pull-up,
assisted prone hamstring,https://www.google.com/search?tbm=isch&q=assisted%20prone%20hamstring,
assisted prone lying quads stretch,https://www.google.com/search?tbm=isch&q=assisted%20prone%20lying%20quads%20stretch,
assisted prone rectus femoris stretch,https://www.google.com/search?tbm=isch&q=assisted%20prone%20rectus%20femoris%20stretch,
assisted pull-up,https://www.google.com/search?tbm=isch&q=assisted%20pull-up,
assisted seated pectoralis major stretch with stability ball,https://www.google.com/search?tbm=isch&q=assisted%20seated%20pectoralis%20major%20stretch%20with%20stability%20ball,
assisted side lying adductor stretch,https://www.google.com/search?tbm=isch&q=assisted%20side%20lying%20adductor%20stretch,
assisted sit-up,https://www.google.com/search?tbm=isch&q=assisted%20sit-up,
assisted standing chin-up,https://www.google.com/search?tbm=isch&q=assisted%20standing%20chin-up,
assisted standing pull-up,https://www.google.com/search?tbm=isch&q=assisted%20standing%20pull-up,
assisted standing triceps extension (with towel),https://www.google.com/search?tbm=isch&q=assisted%20standing%20triceps%20extension%20%28with%20towel%29,
assisted triceps dip (kneeling),https://www.google.com/search?tbm=isch&q=assisted%20triceps%20dip%20%28kneeling%29,
assisted wide-grip chest dip (kneeling),https://www.google.com/search?tbm=isch&q=assisted%20wide-grip%20chest%20dip%20%28kneeling%29,
astride jumps (male),https://www.google.com/search?tbm=isch&q=astride%20jumps%20%28male%29,
back and forth step,https://www.google.com/search?tbm=isch&q=back%20and%20forth%20step,
back extension on exercise ball,https://www.google.com/search?tbm=isch&q=back%20extension%20on%20exercise%20ball,
back lever,https://www.google.com/search?tbm=isch&q=back%20lever,
back pec stretch,https://www.google.com/search?tbm=isch&q=back%20pec%20stretch,
backward jump,https://www.google.com/search?tbm=isch&q=backward%20jump,
balance board,https://www.google.com/search?tbm=isch&q=balance%20board,
band alternating biceps curl,https://www.google.com/search?tbm=isch&q=band%20alternating%20biceps%20curl,
band alternating v-up,https://www.google.com/search?tbm=isch&q=band%20alternating%20v-up,
band assisted pull-up,https://www.google.com/search?tbm=isch&q=band%20assisted%20pull-up,
band assisted wheel rollerout,https://www.google.com/search?tbm=isch&q=band%20assisted%20wheel%20rollerout,
band bench press,https://www.google.com/search?tbm=isch&q=band%20bench%20press,
band bent-over hip extension,https://www.google.com/search?tbm=isch&q=band%20bent-over%20hip%20extension,
band bicycle crunch,https://www.google.com/search?tbm=isch&q=band%20bicycle%20crunch,
band close-grip pulldown,https://www.google.com/search?tbm=isch&q=band%20close-grip%20pulldown,
band close-grip push-up,https://www.google.com/search?tbm=isch&q=band%20close-grip%20push-up,
band concentration curl,https://www.google.com/search?tbm=isch&q=band%20concentration%20curl,
band fixed back close grip pulldown,https://www.google.com/search?tbm=isch&q=band%20fixed%20back%20close%20grip%20pulldown,
band fixed back underhand pulldown,https://www.google.com/search?tbm=isch&q=band%20fixed%20back%20underhand%20pulldown,
band front lateral raise,https://www.google.com/search?tbm=isch&q=band%20front%20lateral%20raise,
band front raise,https://www.google.com/search?tbm=isch&q=band%20front%20raise,
band hip lift,https://www.google.com/search?tbm=isch&q=band%20hip%20lift,
band horizontal pallof press,https://www.google.com/search?tbm=isch&q=band%20horizontal%20pallof%20press,
band jack knife sit-up,https://www.google.com/search?tbm=isch&q=band%20jack%20knife%20sit-up,
band kneeling one arm pulldown,https://www.google.com/search?tbm=isch&q=band%20kneeling%20one%20arm%20pulldown,
band kneeling twisting crunch,https://www.google.com/search?tbm=isch&q=band%20kneeling%20twisting%20crunch,
band lying hip internal rotation,https://www.google.com/search?tbm=isch&q=band%20lying%20hip%20internal%20rotation,
band lying straight leg raise,https://www.google.com/search?tbm=isch&q=band%20lying%20straight%20leg%20raise,
band one arm overhead biceps curl,https://www.google.com/search?tbm=isch&q=band%20one%20arm%20overhead%20biceps%20curl,
band one arm single leg split squat,https://www.google.com/search?tbm=isch&q=band%20one%20arm%20single%20leg%20split%20squat,
band one arm standing low row,https://www.google.com/search?tbm=isch&q=band%20one%20arm%20standing%20low%20row,
band one arm twisting chest press,https://www.google.com/search?tbm=isch&q=band%20one%20arm%20twisting%20chest%20press,
band one arm twisting seated row,https://www.google.com/search?tbm=isch&q=band%20one%20arm%20twisting%20seated%20row,
band pull through,https://www.google.com/search?tbm=isch&q=band%20pull%20through,
band push sit-up,https://www.google.com/search?tbm=isch&q=band%20push%20sit-up,
band reverse fly,https://www.google.com/search?tbm=isch&q=band%20reverse%20fly,
band reverse wrist curl,https://www.google.com/search?tbm=isch&q=band%20reverse%20wrist%20curl,
band seated hip internal rotation,https://www.google.com/search?tbm=isch&q=band%20seated%20hip%20internal%20rotation,
band seated twist,https://www.google.com/search?tbm=isch&q=band%20seated%20twist,
band shoulder press,https://www.google.com/search?tbm=isch&q=band%20shoulder%20press,
band shrug,https://www.google.com/search?tbm=isch&q=band%20shrug,
band side triceps extension,https://www.google.com/search?tbm=isch&q=band%20side%20triceps%20extension,
band single leg calf raise,https://www.google.com/search?tbm=isch&q=band%20single%20leg%20calf%20raise,
band single leg reverse calf raise,https://www.google.com/search?tbm=isch&q=band%20single%20leg%20reverse%20calf%20raise,
band single leg split squat,https://www.google.com/search?tbm=isch&q=band%20single%20leg%20split%20squat,
band squat,https://www.google.com/search?tbm=isch&q=band%20squat,
band squat row,https://www.google.com/search?tbm=isch&q=band%20squat%20row,
band standing crunch,https://www.google.com/search?tbm=isch&q=band%20standing%20crunch,
band standing rear delt row,https://www.google.com/search?tbm=isch&q=band%20standing%20rear%20delt%20row,
band standing twisting crunch,https://www.google.com/search?tbm=isch&q=band%20standing%20twisting%20crunch,
band step-up,https://www.google.com/search?tbm=isch&q=band%20step-up,
band stiff leg deadlift,https://www.google.com/search?tbm=isch&q=band%20stiff%20leg%20deadlift,
band straight back stiff leg deadlift,https://www.google.com/search?tbm=isch&q=band%20straight%20back%20stiff%20leg%20deadlift,
band straight leg deadlift,https://www.google.com/search?tbm=isch&q=band%20straight%20leg%20deadlift,
band twisting overhead press,https://www.google.com/search?tbm=isch&q=band%20twisting%20overhead%20press,
band two legs calf raise - (band under both legs) v. 2,https://www.google.com/search?tbm=isch&q=band%20two%20legs%20calf%20raise%20-%20%28band%20under%20both%20legs%29%20v.%202,
band underhand pulldown,https://www.google.com/search?tbm=isch&q=band%20underhand%20pulldown,
band v-up,https://www.google.com/search?tbm=isch&q=band%20v-up,
