Exercise Name,Filename,YouTube Link
3/4 sit-up,3-4-sit-up.jpg,https://www.youtube.com/watch?v=DkaLZzzkKYc
45° side bend,,https://www.youtube.com/watch?v=rDn-E1xL_wA
air bike,air-bike.jpg,https://www.youtube.com/watch?v=KC-ZSfOmXgE
all fours squad stretch,,https://www.youtube.com/watch?v=PdTNAjLfybs
alternate heel touchers,alternate-heel-touchers.jpg,https://www.youtube.com/watch?v=i-BBrCVNT9A
alternate lateral pulldown,,https://www.youtube.com/watch?v=bNmvKpJSWKM
ankle circles,ankle-circles.jpg,https://www.youtube.com/watch?v=z24gW6aHJrI
archer pull up,,https://www.youtube.com/watch?v=6qtY8j92gA8
archer push up,,https://www.youtube.com/watch?v=mzr0RYNDzzI
arm slingers hanging bent knee legs,,https://www.youtube.com/watch?v=hgVidvQzNQo
arm slingers hanging straight legs,,https://www.youtube.com/watch?v=Mwn2_vN0IFI
arms apart circular toe touch (male),,https://www.youtube.com/watch?v=62fiMkNujrk
arms overhead full sit-up (male),,https://www.youtube.com/watch?v=SdIczSwWM6o
assisted chest dip (kneeling),,https://www.youtube.com/watch?v=LH9iZNaO7oU
assisted hanging knee raise,,https://www.youtube.com/watch?v=hgVidvQzNQo
assisted hanging knee raise with throw down,,https://www.youtube.com/watch?v=VhKqEBB-Cg0
assisted lying calves stretch,,https://www.youtube.com/watch?v=FgN-WXPQqOo
assisted lying glutes stretch,,https://www.youtube.com/watch?v=cj4dOfA46XY
assisted lying gluteus and piriformis stretch,,https://www.youtube.com/watch?v=IJYM-aNqtGY
assisted lying leg raise with lateral throw down,,https://www.youtube.com/watch?v=TdfRsUbODlM
assisted lying leg raise with throw down,,https://www.youtube.com/watch?v=Nf8G1p9yb-k
assisted motion russian twist,,https://www.youtube.com/watch?v=zsNuxxnMgNw
assisted parallel close grip pull-up,,https://www.youtube.com/watch?v=618kx6wiDGM
assisted prone hamstring,,https://www.youtube.com/watch?v=lGNeJsdqJwg
assisted prone lying quads stretch,,https://www.youtube.com/watch?v=RLZBBlR1C2g
assisted prone rectus femoris stretch,,https://www.youtube.com/watch?v=VLWP2z7q4Ow
assisted pull-up,,https://www.youtube.com/watch?v=CdO5BvP6Ti8
assisted seated pectoralis major stretch with stability ball,,https://www.youtube.com/watch?v=iMCcMGTiuGU
assisted side lying adductor stretch,,https://www.youtube.com/watch?v=q3KvaKkUxT0
assisted sit-up,,https://www.youtube.com/watch?v=DkaLZzzkKYc
assisted standing chin-up,,https://www.youtube.com/watch?v=CdO5BvP6Ti8
assisted standing pull-up,,https://www.youtube.com/watch?v=CdO5BvP6Ti8
assisted standing triceps extension (with towel),,https://www.youtube.com/watch?v=6qaGfCMl9zs
assisted triceps dip (kneeling),,https://www.youtube.com/watch?v=LH9iZNaO7oU
assisted wide-grip chest dip (kneeling),,https://www.youtube.com/watch?v=LH9iZNaO7oU
